fund_house,scheme_type,scheme_category,scheme_code,scheme_name,nav,returns
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,606.04,19.56
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,121.99,16.57
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,13.44,7.14
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,99.30,8.73
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.02,6.37
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),539.05,10.19
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),553.17,7.46
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.69,6.73
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.20,7.81
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100047,Aditya Birla Sun Life Liquid Fund - Growth.332.17,8.43
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly IDCW,108.06,6.91
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.22,7.37
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,11.46,6.82
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100058,Aditya Birla Sun Life Government Securities Fund - Growth - Regular Plan,64.24,5.43
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,174.69,20.81
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,954.20,18.27
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100067,Aditya Birla Sun Life Tax Plan -Regular - IDCW,97.13,15.05
Baroda Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100068,BARODA ELSS 96 - Plan A - IDCW,35.84,7.51
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100077,DSP Bond Fund - IDCW,11.37,5.87
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100078,DSP Bond Fund - Growth,64.44,7.13
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100079,DSP Bond Fund - IDCW - Monthly,11.04,5.14
DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,54.73,11.04
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100081,DSP Equity & Bond Fund- Regular Plan - Growth,222.16,14.59
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100082,DSP Equity & Bond Fund- Regular Plan - IDCW,26.56,11.41
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100084,DSP Government Securities Fund - Regular Plan - Growth,74.45,7.84
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100085,DSP Government Securities Fund - Regular Plan - IDCW,12.45,6.27
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100086,DSP Government Securities Fund - Regular Plan - IDCW - Monthly,10.69,6.73
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100087,DSP Savings Fund - Regular Plan - Growth,41.71,7.89
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100088,DSP Savings Fund - Regular Plan - IDCW,12.16,4.10
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100089,DSP Savings Fund - Regular Plan - IDCW - Monthly,10.77,5.11
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,100119,HDFC Balanced Advantage Fund - Growth Plan,258.36,12.55
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,100120,HDFC Balanced Advantage Fund - IDCW Plan,28.13,10.09
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100123,HDFC Income Fund - Quarterly IDCW Option,11.21,5.60
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100124,HDFC Income Fund - Growth Option,47.04,8.67
Principal Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,100152,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,59.09,10.67
